subject,group,context,file,sig,pcl,BG,EX,blur,lpf,drift,actStart,actEnd,cm_px,stimX,stimY,angle,cv,apexAngle,notes
20180522-rata,mehp,base,20180522-rata-15.sif,vm,140,0.3,0.5,15,50,NA,1.117,1.157,0.004761626,0.15369,0.74254,355,53.9856,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,5,60.2135,115,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,15,53.1031,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,25,52.3079,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,35,48.623,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,45,38.2248,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,55,35.075,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,65,27.7361,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,75,18.2615,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,85,41.0857,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,95,45.8541,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,105,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,115,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,125,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,135,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,145,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,155,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,165,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,175,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,185,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,195,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,205,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,215,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,225,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,235,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,245,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,255,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,265,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,275,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,285,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,295,NaN,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,305,97.5803,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,315,72.3239,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,325,55.0075,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,335,46.907,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,345,53.832,,
20180522-rata,mehp,post,20180522-rata-28.sif,vm,240,0.3,0.5,15,50,NA,1.213,1.253,0.004689921,0.21521,0.47888,355,50.4105,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,5,52.877,115,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,15,48.937,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,25,46.6805,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,35,50.8068,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,45,34.2818,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,55,23.4067,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,65,31.472,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,75,34.0119,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,85,34.0712,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,95,48.0345,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,105,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,115,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,125,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,135,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,145,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,155,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,165,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,175,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,185,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,195,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,205,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,215,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,225,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,235,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,245,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,255,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,265,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,275,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,285,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,295,NaN,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,305,161.4106,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,315,91.027,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,325,62.4325,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,335,53.812,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,345,51.9868,,
20180522-rata,mehp,post,20180522-rata-33.sif,vm,190,0.3,0.5,15,50,NA,1.322,1.36,0.004689921,0.21521,0.47888,355,49.946,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,5,54.8011,115,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,15,57.7971,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,25,42.1141,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,35,40.8834,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,45,43.3947,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,55,42.8941,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,65,53.4144,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,75,47.5427,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,85,47.5972,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,95,43.9493,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,105,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,115,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,125,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,135,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,145,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,155,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,165,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,175,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,185,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,195,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,205,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,215,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,225,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,235,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,245,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,255,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,265,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,275,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,285,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,295,NaN,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,305,67.5887,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,315,50.3331,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,325,54.4741,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,335,32.887,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,345,36.2802,,
20180522-rata,mehp,post,20180522-rata-38.sif,vm,140,0.3,0.5,15,50,NA,1.153,1.192,0.004689921,0.21521,0.47888,355,38.2942,,
